"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Muscle|Intracellular|Aciclovir|Concentration [µmol/l]"
0,975,0.6029031,0.4873843
0,978,0.5971128,0.4826026
0,981,0.5913795,0.4778689
0,984,0.5857026,0.4731829
0,987,0.5800815,0.468544
0,990,0.5745158,0.4639517
0,993,0.5690047,0.4594055
0,996,0.5635478,0.454905
0,999,0.5581445,0.4504497
0,1002,0.5527943,0.4460391
0,1005,0.5474967,0.4416729
0,1008,0.5422513,0.4373506
0,1011,0.5370573,0.4330717
0,1014,0.5319145,0.4288357
0,1017,0.526822,0.4246423
0,1020,0.5217796,0.4204909
0,1023,0.5167866,0.4163811
0,1026,0.5118427,0.4123125
0,1029,0.5069472,0.4082848
0,1032,0.5020997,0.4042973
0,1035,0.4972997,0.4003498
0,1038,0.4925467,0.3964418
0,1041,0.4878403,0.3925729
0,1044,0.4831799,0.3887428
0,1047,0.4785652,0.3849509
0,1050,0.4739955,0.3811969
0,1053,0.4694706,0.3774804
0,1056,0.4649898,0.373801
0,1059,0.4605528,0.3701583
0,1062,0.4561591,0.366552
0,1065,0.4518086,0.3629818
0,1068,0.4475009,0.3594476
0,1071,0.4432353,0.3559488
0,1074,0.4390115,0.3524849
0,1077,0.4348288,0.3490555
0,1080,0.4306871,0.3456604
0,1083,0.4265857,0.3422992
0,1086,0.4225245,0.3389715
0,1089,0.4185028,0.335677
0,1092,0.4145203,0.3324153
0,1095,0.4105767,0.3291861
0,1098,0.4066715,0.325989
0,1101,0.4028043,0.3228238
0,1104,0.3989748,0.31969
0,1107,0.3951825,0.3165874
0,1110,0.3914271,0.3135156
0,1113,0.3877082,0.3104743
0,1116,0.3840254,0.3074632
0,1119,0.3803784,0.3044819
0,1122,0.3767667,0.3015302
0,1125,0.3731901,0.2986078
0,1128,0.3696486,0.2957147
0,1131,0.3661414,0.2928502
0,1134,0.3626683,0.2900142
0,1137,0.359229,0.2872063
0,1140,0.355823,0.2844263
0,1143,0.35245,0.2816738
0,1146,0.3491098,0.2789486
0,1149,0.345802,0.2762504
0,1152,0.3425263,0.273579
0,1155,0.3392823,0.270934
0,1158,0.3360698,0.2683152
0,1161,0.3328884,0.2657223
0,1164,0.3297378,0.2631552
0,1167,0.3266178,0.2606134
0,1170,0.323528,0.2580968
0,1173,0.3204681,0.255605
0,1176,0.3174378,0.2531379
0,1179,0.3144368,0.2506953
0,1182,0.3114649,0.2482767
0,1185,0.3085218,0.2458821
0,1188,0.3056071,0.2435112
0,1191,0.3027207,0.2411637
0,1194,0.2998621,0.2388394
0,1197,0.2970313,0.2365382
0,1200,0.2942278,0.2342596
0,1203,0.2914515,0.2320036
0,1206,0.288702,0.2297699
0,1209,0.2859792,0.2275583
0,1212,0.2832825,0.2253684
0,1215,0.2806119,0.2232002
0,1218,0.2779671,0.2210533
0,1221,0.2753478,0.2189277
0,1224,0.2727538,0.216823
0,1227,0.2701849,0.214739
0,1230,0.2676408,0.2126756
0,1233,0.2651212,0.2106326
0,1236,0.2626259,0.2086097
0,1239,0.2601547,0.2066067
0,1242,0.2577073,0.2046234
0,1245,0.2552835,0.2026597
0,1248,0.252883,0.2007153
0,1251,0.2505057,0.1987901
0,1254,0.2481513,0.1968838
0,1257,0.2458197,0.1949963
0,1260,0.2435104,0.1931274
0,1263,0.2412234,0.1912769
0,1266,0.2389584,0.1894445
0,1269,0.2367152,0.1876302
0,1272,0.2344936,0.1858336
0,1275,0.2322933,0.1840548
0,1278,0.2301142,0.1822934
0,1281,0.227956,0.1805492
0,1284,0.2258185,0.1788222
0,1287,0.2237016,0.1771121
0,1290,0.2216049,0.1754188
0,1293,0.2195284,0.173742
0,1296,0.2174718,0.1720818
0,1299,0.215435,0.1704378
0,1302,0.2134178,0.16881
0,1305,0.2114199,0.1671981
0,1308,0.2094412,0.165602
0,1311,0.2074814,0.1640215
0,1314,0.2055404,0.1624565
0,1317,0.203618,0.1609067
0,1320,0.2017141,0.1593722
0,1323,0.1998283,0.1578526
0,1326,0.1979606,0.1563479
0,1329,0.1961107,0.1548579
0,1332,0.1942785,0.1533825
0,1335,0.1924639,0.1519214
0,1338,0.1906666,0.1504746
0,1341,0.1888865,0.149042
0,1344,0.1871235,0.1476234
0,1347,0.1853773,0.1462186
0,1350,0.1836477,0.1448275
0,1353,0.1819347,0.14345
0,1356,0.1802381,0.1420859
0,1359,0.1785577,0.1407351
0,1362,0.1768933,0.1393975
0,1365,0.1752447,0.138073
0,1368,0.173612,0.1367613
0,1371,0.1719948,0.1354624
0,1374,0.170393,0.1341762
0,1377,0.1688065,0.1329025
0,1380,0.1672351,0.1316412
0,1383,0.1656787,0.1303921
0,1386,0.1641371,0.1291552
0,1389,0.1626102,0.1279304
0,1392,0.1610979,0.1267174
0,1395,0.1596,0.1255163
0,1398,0.1581163,0.1243268
0,1401,0.1566467,0.1231489
0,1404,0.1551912,0.1219825
0,1407,0.1537495,0.1208274
0,1410,0.1523215,0.1196835
0,1413,0.1509071,0.1185507
0,1416,0.1495062,0.1174289
0,1419,0.1481185,0.116318
0,1422,0.1467441,0.1152179
0,1425,0.1453828,0.1141285
0,1428,0.1440343,0.1130497
0,1431,0.1426987,0.1119813
0,1434,0.1413758,0.1109232
0,1437,0.1400654,0.1098754
0,1440,0.1387675,0.1088378
1,0,0,0
1,1,3.673817,0.02654088
1,2,10.50899,0.1732904
1,3,17.45506,0.4558996
1,4,24.17815,0.8627543
1,5,30.65051,1.381516
1,6,36.85436,2.001207
1,7,42.76982,2.711778
1,8,48.38427,3.503884
1,9,53.69543,4.36886
1,10,58.70945,5.298755
1,11,59.76486,6.259795
1,12,57.39016,7.151787
1,13,54.65396,7.953223
1,14,51.90902,8.670482
1,15,49.2021,9.311232
1,18,41.66668,10.84049
1,21,35.49569,11.90372
1,24,30.76218,12.63342
1,27,27.23837,13.12788
1,30,24.64705,13.45667
1,33,22.74588,13.66838
1,36,21.34432,13.79685
1,39,20.30038,13.8657
1,42,19.51097,13.89155
1,45,18.90215,13.88608
1,48,18.42154,13.8576
1,51,18.03213,13.81205
1,54,17.70779,13.7537
1,57,17.43014,13.68563
1,60,17.18615,13.61012
1,63,16.96657,13.52885
1,66,16.76491,13.44307
1,69,16.57661,13.35373
1,72,16.39839,13.26153
1,75,16.22788,13.16707
1,78,16.0634,13.07077
1,81,15.90373,12.973
1,84,15.74802,12.87404
1,87,15.59559,12.77414
1,90,15.44598,12.67351
1,93,15.29881,12.57231
1,96,15.15382,12.4707
1,99,15.01082,12.36879
1,102,14.86968,12.26671
1,105,14.73028,12.16455
1,108,14.59252,12.06239
1,111,14.45633,11.96031
1,114,14.32164,11.85839
1,117,14.18839,11.75669
1,120,14.05653,11.65526
1,123,13.92603,11.55416
1,126,13.79687,11.45343
1,129,13.66901,11.35312
1,132,13.54244,11.25325
1,135,13.41714,11.15386
1,138,13.29309,11.05499
1,141,13.17026,10.95665
1,144,13.04864,10.85888
1,147,12.92821,10.76169
1,150,12.80895,10.66511
1,153,12.69084,10.56916
1,156,12.57387,10.47384
1,159,12.45803,10.37918
1,162,12.3433,10.28518
1,165,12.22968,10.19186
1,168,12.11714,10.09922
1,171,12.00567,10.00728
1,174,11.89527,9.916039
1,177,11.78592,9.825504
1,180,11.67761,9.735682
1,183,11.57032,9.646577
1,186,11.46406,9.558187
1,189,11.3588,9.470519
1,192,11.25453,9.383575
1,195,11.15125,9.297355
1,198,11.04894,9.211856
1,201,10.9476,9.127082
1,204,10.84722,9.043032
1,207,10.74777,8.959703
1,210,10.64927,8.877094
1,213,10.55169,8.795206
1,216,10.45502,8.714034
1,219,10.35927,8.633575
1,222,10.26441,8.553828
1,225,10.17044,8.474791
1,228,10.07735,8.396458
1,231,9.985135,8.318827
1,234,9.893782,8.241894
1,237,9.803284,8.165657
1,240,9.713632,8.09011
1,243,9.624819,8.015249
1,246,9.536836,7.941069
1,249,9.449675,7.867565
1,252,9.363328,7.794735
1,255,9.277787,7.722574
1,258,9.193045,7.651076
1,261,9.109094,7.580236
1,264,9.025926,7.510047
